target_game,class,points_Aid,points_Bonus,points_Control,points_Market,share_Aid,share_Bonus,share_Control,share_Market,comparison,difference_points,difference_share
UG,S-C,168.33333333333334,93.33333333333333,175.66666666666666,263.3333333333333,0.16833333333333333,0.09333333333333334,0.17566666666666667,0.26333333333333336,Market-Control,87.66666666666666,0.0876666666666667
UG,S-D,168.33333333333334,93.33333333333333,175.66666666666666,263.3333333333333,0.16833333333333333,0.09333333333333334,0.17566666666666667,0.26333333333333336,Market-Control,87.66666666666666,0.0876666666666667
DG,C,241.66666666666666,508.3333333333333,320.0,306.6666666666667,0.2416666666666667,0.5083333333333334,0.32,0.30666666666666664,Aid-Bonus,-266.66666666666663,-0.2666666666666667
DG,M,420.0,311.6666666666667,343.3333333333333,301.6666666666667,0.42,0.3116666666666667,0.3433333333333333,0.3016666666666667,Aid-Bonus,108.33333333333331,0.10833333333333328
DG,S,338.3333333333333,180.0,336.6666666666667,391.6666666666667,0.3383333333333334,0.18000000000000002,0.33666666666666667,0.39166666666666666,Aid-Bonus,158.33333333333331,0.15833333333333335
TG,C-C,142.66666666666666,225.0,155.33333333333334,153.33333333333334,0.14266666666666666,0.22499999999999998,0.15533333333333335,0.15333333333333332,Aid-Bonus,-82.33333333333334,-0.08233333333333331
TG,C-D,142.66666666666666,218.33333333333334,155.66666666666666,153.33333333333334,0.14266666666666666,0.21833333333333335,0.15566666666666668,0.15333333333333332,Aid-Bonus,-75.66666666666669,-0.07566666666666669
TG,M-C,191.66666666666666,171.66666666666666,139.0,171.66666666666666,0.19166666666666665,0.17166666666666666,0.139,0.17166666666666666,Aid-Bonus,20.0,0.01999999999999999
TG,M-D,191.66666666666666,165.0,138.66666666666666,171.66666666666666,0.19166666666666665,0.165,0.1386666666666667,0.17166666666666666,Aid-Bonus,26.666666666666657,0.026666666666666644
TG,S-C,165.66666666666666,111.66666666666667,205.66666666666666,175.0,0.16566666666666666,0.11166666666666668,0.20566666666666666,0.17500000000000002,Aid-Bonus,53.999999999999986,0.05399999999999998
TG,S-D,165.66666666666666,108.33333333333333,205.66666666666666,175.0,0.16566666666666666,0.10833333333333334,0.20566666666666666,0.17500000000000002,Aid-Bonus,57.33333333333333,0.05733333333333332
UG,C-C,146.66666666666666,203.33333333333334,162.33333333333334,115.0,0.14666666666666667,0.20333333333333334,0.16233333333333333,0.11499999999999999,Aid-Bonus,-56.666666666666686,-0.05666666666666667
UG,C-D,143.33333333333334,203.33333333333334,162.0,115.0,0.14333333333333334,0.20333333333333334,0.162,0.11499999999999999,Aid-Bonus,-60.0,-0.06
UG,M-C,186.66666666666666,203.33333333333334,162.33333333333334,121.66666666666667,0.18666666666666668,0.20333333333333334,0.16233333333333333,0.12166666666666666,Aid-Bonus,-16.666666666666686,-0.016666666666666663
UG,M-D,186.66666666666666,203.33333333333334,162.0,121.66666666666667,0.18666666666666668,0.20333333333333334,0.162,0.12166666666666666,Aid-Bonus,-16.666666666666686,-0.016666666666666663
UG,S-C,168.33333333333334,93.33333333333333,175.66666666666666,263.3333333333333,0.16833333333333333,0.09333333333333334,0.17566666666666667,0.26333333333333336,Aid-Bonus,75.00000000000001,0.075
UG,S-D,168.33333333333334,93.33333333333333,175.66666666666666,263.3333333333333,0.16833333333333333,0.09333333333333334,0.17566666666666667,0.26333333333333336,Aid-Bonus,75.00000000000001,0.075
