replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
72,b_C_vs_N,-0.02033468942684303,True,143,0.006889017196516578,1209,1125
72,b_M_vs_N,0.023724441550190087,True,143,0.006889017196516578,1209,1125
72,b_S_vs_N,-0.00379179878302406,True,143,0.006889017196516578,1209,1125
73,b_C_vs_N,-0.014316415650185084,True,134,0.011688189078249422,1206,1125
73,b_M_vs_N,0.03647968267000363,True,134,0.011688189078249422,1206,1125
73,b_S_vs_N,-0.008119449268181906,True,134,0.011688189078249422,1206,1125
74,b_C_vs_N,-0.024108623122430287,True,144,0.0010546274526082033,1209,1125
74,b_M_vs_N,0.03460405080114122,True,144,0.0010546274526082033,1209,1125
74,b_S_vs_N,-0.01680425380267196,True,144,0.0010546274526082033,1209,1125
75,b_C_vs_N,-0.013789490311211558,True,127,0.0046646074030544105,1205,1125
75,b_M_vs_N,0.03492394635422854,True,127,0.0046646074030544105,1205,1125
75,b_S_vs_N,-0.018969744381494163,True,127,0.0046646074030544105,1205,1125
76,b_C_vs_N,-0.023683977473119577,True,150,0.0026344672873577224,1200,1125
76,b_M_vs_N,0.04491618790945606,True,150,0.0026344672873577224,1200,1125
76,b_S_vs_N,-0.006351625856968028,True,150,0.0026344672873577224,1200,1125
77,b_C_vs_N,-0.00953237667946646,True,136,0.004638257463018269,1198,1125
77,b_M_vs_N,0.03707704192514894,True,136,0.004638257463018269,1198,1125
77,b_S_vs_N,-0.014671962724451384,True,136,0.004638257463018269,1198,1125
78,b_C_vs_N,-0.01631578502820837,True,126,0.014883688862488698,1198,1125
78,b_M_vs_N,0.03672639713038323,True,126,0.014883688862488698,1198,1125
78,b_S_vs_N,-0.012126624085962387,True,126,0.014883688862488698,1198,1125
79,b_C_vs_N,-0.015264512478041437,True,143,0.002477788799622016,1192,1125
79,b_M_vs_N,0.029034442486465483,True,143,0.002477788799622016,1192,1125
79,b_S_vs_N,-0.0008720101958233986,True,143,0.002477788799622016,1192,1125
80,b_C_vs_N,-0.00683181970619308,True,139,0.00288675677103023,1201,1125
80,b_M_vs_N,0.0362245123661019,True,139,0.00288675677103023,1201,1125
80,b_S_vs_N,0.0035275415788536034,True,139,0.00288675677103023,1201,1125
81,b_C_vs_N,-0.01534480484449824,True,146,0.003311448508505066,1193,1125
81,b_M_vs_N,0.03044413850494337,True,146,0.003311448508505066,1193,1125
81,b_S_vs_N,-0.010243413742796867,True,146,0.003311448508505066,1193,1125
82,b_C_vs_N,-0.018613042953892402,True,129,0.0012368134119112861,1194,1125
82,b_M_vs_N,0.026097621845784222,True,129,0.0012368134119112861,1194,1125
82,b_S_vs_N,0.005855736964442736,True,129,0.0012368134119112861,1194,1125
83,b_C_vs_N,-0.012727647596677657,True,137,0.000914486981134166,1197,1125
83,b_M_vs_N,0.037042852539736784,True,137,0.000914486981134166,1197,1125
