replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
48,weight_C,-0.15742819268889216,True,160,0.0018684185661834718,1187,1125
48,weight_M,0.07513732113553946,True,160,0.0018684185661834718,1187,1125
48,weight_S,0.005266175338226994,True,160,0.0018684185661834718,1187,1125
49,weight_C,-0.05079489939964467,True,144,0.0013253776850952192,1196,1125
49,weight_M,0.15611461203508528,True,144,0.0013253776850952192,1196,1125
49,weight_S,0.006686628776118711,True,144,0.0013253776850952192,1196,1125
50,weight_C,-0.03877566280014312,True,142,0.007536936318606635,1207,1125
50,weight_M,0.14721980545598884,True,142,0.007536936318606635,1207,1125
50,weight_S,-0.037977183130546065,True,142,0.007536936318606635,1207,1125
51,weight_C,-0.011315029579946926,True,138,0.004013894842575638,1207,1125
51,weight_M,0.057016134845756114,True,138,0.004013894842575638,1207,1125
51,weight_S,-0.12503870555914143,True,138,0.004013894842575638,1207,1125
52,weight_C,-0.13949042125133992,True,145,0.0013428231276277902,1202,1125
52,weight_M,0.13000245356702325,True,145,0.0013428231276277902,1202,1125
52,weight_S,-0.1497497520448048,True,145,0.0013428231276277902,1202,1125
53,weight_C,-0.11797822908894309,True,154,0.0009935995695187216,1191,1125
53,weight_M,0.16400170543480097,True,154,0.0009935995695187216,1191,1125
53,weight_S,-0.02017611469737739,True,154,0.0009935995695187216,1191,1125
54,weight_C,-0.08743390245477849,True,145,0.0008211468886240025,1194,1125
54,weight_M,0.08678208926445578,True,145,0.0008211468886240025,1194,1125
54,weight_S,-0.08121393966544874,True,145,0.0008211468886240025,1194,1125
55,weight_C,-0.006683688557090735,True,146,0.0017198196757206574,1210,1125
55,weight_M,0.1570252408950169,True,146,0.0017198196757206574,1210,1125
55,weight_S,0.04444072962545136,True,146,0.0017198196757206574,1210,1125
56,weight_C,-0.059175979546395314,True,144,0.003419507099790442,1206,1125
56,weight_M,0.14949936040434314,True,144,0.003419507099790442,1206,1125
56,weight_S,0.005008007314334402,True,144,0.003419507099790442,1206,1125
57,weight_C,-0.025361940558711774,True,121,0.00786730969768537,1203,1125
57,weight_M,0.19736927969049173,True,121,0.00786730969768537,1203,1125
57,weight_S,0.009077425413986722,True,121,0.00786730969768537,1203,1125
58,weight_C,-0.11922899955244434,True,145,0.0007907850971663466,1189,1125
58,weight_M,0.16438136925240132,True,145,0.0007907850971663466,1189,1125
58,weight_S,-0.15579282594541888,True,145,0.0007907850971663466,1189,1125
59,weight_C,-0.01098735793436348,True,154,0.002179988906443997,1211,1125
59,weight_M,0.14064755123561307,True,154,0.002179988906443997,1211,1125
59,weight_S,-0.09518726796968152,True,154,0.002179988906443997,1211,1125
60,weight_C,-0.09698371980418312,True,141,0.0012095188546943358,1195,1125
60,weight_M,0.1213882581820808,True,141,0.0012095188546943358,1195,1125
60,weight_S,-0.051322387804979656,True,141,0.0012095188546943358,1195,1125
61,weight_C,-0.1185018245970574,True,137,0.0016653379906447219,1201,1125
61,weight_M,0.09596536202669555,True,137,0.0016653379906447219,1201,1125
61,weight_S,-0.012734845261914256,True,137,0.0016653379906447219,1201,1125
62,weight_C,-0.1061498766474315,True,157,0.0039451553765732505,1198,1125
62,weight_M,0.07128329085853394,True,157,0.0039451553765732505,1198,1125
62,weight_S,-0.16956884738504216,True,157,0.0039451553765732505,1198,1125
63,weight_C,-0.03087513225541802,True,140,0.0014121476314943315,1205,1125
63,weight_M,0.1138673908012049,True,140,0.0014121476314943315,1205,1125
63,weight_S,-0.054380668547702536,True,140,0.0014121476314943315,1205,1125
64,weight_C,-0.20769603437957665,True,135,0.0015795061881196393,1213,1125
64,weight_M,0.11170024309126614,True,135,0.0015795061881196393,1213,1125
64,weight_S,-0.12512359508422088,True,135,0.0015795061881196393,1213,1125
65,weight_C,-0.07653511739262422,True,149,0.003099524360686612,1198,1125
65,weight_M,0.17279264310297585,True,149,0.003099524360686612,1198,1125
65,weight_S,0.019984319434219647,True,149,0.003099524360686612,1198,1125
66,weight_C,-0.1523156935377943,True,159,0.0012120991196327147,1201,1125
66,weight_M,0.12548570128956693,True,159,0.0012120991196327147,1201,1125
66,weight_S,-0.12112181211916517,True,159,0.0012120991196327147,1201,1125
67,weight_C,-0.060536467748877984,True,127,0.0010023250384108007,1194,1125
67,weight_M,0.08184774781564513,True,127,0.0010023250384108007,1194,1125
67,weight_S,-0.13212105218895476,True,127,0.0010023250384108007,1194,1125
68,weight_C,-0.06839037920389973,True,149,0.0007260520385075075,1211,1125
