replicate,dimension,category_vs_moral,estimand,estimate,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
11,condition,C,base_slope,-0.07602127513323956,True,102,0.005328695326386246,1053,990
11,condition,C,comparison_slope,-0.06574039724729108,True,102,0.005328695326386246,1053,990
11,condition,C,difference,0.010280877885948475,True,102,0.005328695326386246,1053,990
11,condition,S,base_slope,-0.02847129571023112,True,102,0.005328695326386246,1053,990
11,condition,S,comparison_slope,-0.06353954779239729,True,102,0.005328695326386246,1053,990
11,condition,S,difference,-0.03506825208216617,True,102,0.005328695326386246,1053,990
11,game,C,base_slope,-0.06420319832794923,True,102,0.005328695326386246,1053,990
11,game,C,comparison_slope,-0.023911783782833797,True,102,0.005328695326386246,1053,990
11,game,C,difference,0.04029141454511543,True,102,0.005328695326386246,1053,990
11,game,S,base_slope,-0.05746108787286399,True,102,0.005328695326386246,1053,990
11,game,S,comparison_slope,-0.005172774212438211,True,102,0.005328695326386246,1053,990
11,game,S,difference,0.05228831366042578,True,102,0.005328695326386246,1053,990
12,condition,C,base_slope,0.021115875318347858,True,108,0.0013495871971245244,1065,990
12,condition,C,comparison_slope,-0.03014969813381396,True,108,0.0013495871971245244,1065,990
12,condition,C,difference,-0.05126557345216182,True,108,0.0013495871971245244,1065,990
12,condition,S,base_slope,-0.042348675649930945,True,108,0.0013495871971245244,1065,990
12,condition,S,comparison_slope,-0.04902583706076251,True,108,0.0013495871971245244,1065,990
12,condition,S,difference,-0.006677161410831563,True,108,0.0013495871971245244,1065,990
12,game,C,base_slope,-0.026631862213960408,True,108,0.0013495871971245244,1065,990
12,game,C,comparison_slope,-0.04200272913754117,True,108,0.0013495871971245244,1065,990
12,game,C,difference,-0.015370866923580761,True,108,0.0013495871971245244,1065,990
12,game,S,base_slope,-0.04557859905478494,True,108,0.0013495871971245244,1065,990
12,game,S,comparison_slope,-0.007654699551876684,True,108,0.0013495871971245244,1065,990
12,game,S,difference,0.037923899502908254,True,108,0.0013495871971245244,1065,990
13,condition,C,base_slope,0.19215263496264584,True,102,0.0010385068503224737,1052,990
13,condition,C,comparison_slope,-0.04633058328044251,True,102,0.0010385068503224737,1052,990
13,condition,C,difference,-0.23848321824308835,True,102,0.0010385068503224737,1052,990
13,condition,S,base_slope,-0.06389274136530035,True,102,0.0010385068503224737,1052,990
13,condition,S,comparison_slope,-0.03615896888551207,True,102,0.0010385068503224737,1052,990
13,condition,S,difference,0.027733772479788275,True,102,0.0010385068503224737,1052,990
13,game,C,base_slope,-0.03411135142888125,True,102,0.0010385068503224737,1052,990
13,game,C,comparison_slope,-0.022017426981746142,True,102,0.0010385068503224737,1052,990
13,game,C,difference,0.012093924447135106,True,102,0.0010385068503224737,1052,990
13,game,S,base_slope,-0.03303623213205031,True,102,0.0010385068503224737,1052,990
13,game,S,comparison_slope,0.0031109818926680632,True,102,0.0010385068503224737,1052,990
13,game,S,difference,0.03614721402471837,True,102,0.0010385068503224737,1052,990
14,condition,C,base_slope,0.08065366115939529,True,112,0.001328566777954343,1059,990
14,condition,C,comparison_slope,-0.06713735935432061,True,112,0.001328566777954343,1059,990
14,condition,C,difference,-0.1477910205137159,True,112,0.001328566777954343,1059,990
14,condition,S,base_slope,-0.030929768914731797,True,112,0.001328566777954343,1059,990
14,condition,S,comparison_slope,-0.039166668580227146,True,112,0.001328566777954343,1059,990
14,condition,S,difference,-0.008236899665495345,True,112,0.001328566777954343,1059,990
14,game,C,base_slope,-0.05882155061114865,True,112,0.001328566777954343,1059,990
14,game,C,comparison_slope,-0.030893119783856206,True,112,0.001328566777954343,1059,990
14,game,C,difference,0.027928430827292447,True,112,0.001328566777954343,1059,990
14,game,S,base_slope,-0.03187967095478916,True,112,0.001328566777954343,1059,990
14,game,S,comparison_slope,-0.009595315361648565,True,112,0.001328566777954343,1059,990
