replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
20,b_S_vs_M,-0.02229150093299749,True,110,0.00040754816005517114,1061,990
21,b_C_vs_M,-0.024929008362057054,True,115,0.00306728080405283,1071,990
21,b_S_vs_M,-0.031540304315650164,True,115,0.00306728080405283,1071,990
22,b_C_vs_M,-0.04126538290360179,True,124,0.002176117449419035,1052,990
22,b_S_vs_M,-0.0271621181834068,True,124,0.002176117449419035,1052,990
23,b_C_vs_M,-0.02462051215017741,True,119,0.0013966976532695519,1041,990
23,b_S_vs_M,-0.03185960369868416,True,119,0.0013966976532695519,1041,990
24,b_C_vs_M,-0.024625101607323664,True,99,0.000846718102193833,1074,990
24,b_S_vs_M,-0.01771252356649775,True,99,0.000846718102193833,1074,990
25,b_C_vs_M,-0.04238201439546229,True,110,0.004971660047444981,1059,990
25,b_S_vs_M,-0.023362966896767878,True,110,0.004971660047444981,1059,990
26,b_C_vs_M,-0.030823695864734414,True,104,0.0017581212145376668,1065,990
26,b_S_vs_M,-0.014177120964081164,True,104,0.0017581212145376668,1065,990
27,b_C_vs_M,-0.04214984648801141,True,112,0.004331748787672396,1076,990
27,b_S_vs_M,-0.026523148069205416,True,112,0.004331748787672396,1076,990
28,b_C_vs_M,-0.03399996896395333,True,119,0.0035747508784558235,1082,990
28,b_S_vs_M,-0.021984469263273285,True,119,0.0035747508784558235,1082,990
29,b_C_vs_M,-0.0364299839186621,True,100,0.0007472663769898524,1054,990
29,b_S_vs_M,-0.01019126005519523,True,100,0.0007472663769898524,1054,990
30,b_C_vs_M,-0.02875149253341584,True,107,0.001095754197782961,1061,990
30,b_S_vs_M,-0.010490673675392017,True,107,0.001095754197782961,1061,990
31,b_C_vs_M,-0.029422457465588536,True,105,0.0006963038108089847,1054,990
31,b_S_vs_M,-0.025851235993108887,True,105,0.0006963038108089847,1054,990
32,b_C_vs_M,-0.04735010737831636,True,114,0.0017549772934860597,1063,990
32,b_S_vs_M,-0.03088086716617895,True,114,0.0017549772934860597,1063,990
33,b_C_vs_M,-0.02466514529550532,True,112,0.001264775772074067,1054,990
33,b_S_vs_M,-0.015029108989567145,True,112,0.001264775772074067,1054,990
34,b_C_vs_M,-0.030589961852177324,True,101,0.0017208555356438282,1039,990
34,b_S_vs_M,-0.03722538584776798,True,101,0.0017208555356438282,1039,990
35,b_C_vs_M,-0.04096855478038151,True,108,0.004505550124549007,1052,990
35,b_S_vs_M,-0.024425298917044137,True,108,0.004505550124549007,1052,990
36,b_C_vs_M,-0.02961524144735663,True,103,0.0011431324154567157,1071,990
36,b_S_vs_M,-0.024868735462676334,True,103,0.0011431324154567157,1071,990
37,b_C_vs_M,-0.044269530089389775,True,100,0.0011978831544827706,1057,990
37,b_S_vs_M,-0.01208288704987311,True,100,0.0011978831544827706,1057,990
38,b_C_vs_M,-0.0491503766298191,True,109,0.0028113862065151096,1054,990
38,b_S_vs_M,-0.03134394726165858,True,109,0.0028113862065151096,1054,990
39,b_C_vs_M,-0.0210956812728489,True,104,0.000820575697695558,1054,990
39,b_S_vs_M,-0.01838005239643563,True,104,0.000820575697695558,1054,990
40,b_C_vs_M,-0.0351168772003555,True,106,0.00443440827918784,1055,990
40,b_S_vs_M,-0.013323329703973097,True,106,0.00443440827918784,1055,990
41,b_C_vs_M,-0.03694216351675762,True,99,0.0005580945751972877,1066,990
41,b_S_vs_M,-0.018144519016606006,True,99,0.0005580945751972877,1066,990
42,b_C_vs_M,-0.03023666022268077,True,102,0.0008836217223868736,1056,990
42,b_S_vs_M,-0.005231226439622209,True,102,0.0008836217223868736,1056,990
43,b_C_vs_M,-0.039890060832616404,True,116,0.0023728979796433514,1067,990
43,b_S_vs_M,-0.01063920669759395,True,116,0.0023728979796433514,1067,990
44,b_C_vs_M,-0.032629390753173775,True,106,0.0017332531460407807,1061,990
44,b_S_vs_M,-0.019253845832975763,True,106,0.0017332531460407807,1061,990
45,b_C_vs_M,-0.0296849976646094,True,107,0.0017496510533225873,1055,990
45,b_S_vs_M,-0.03242697886373652,True,107,0.0017496510533225873,1055,990
46,b_C_vs_M,-0.04002748413038598,True,108,0.0010395991551201966,1063,990
46,b_S_vs_M,-0.01249625912638599,True,108,0.0010395991551201966,1063,990
47,b_C_vs_M,-0.04356161995919504,True,105,0.0011733458014304698,1052,990
47,b_S_vs_M,-0.0196114377996972,True,105,0.0011733458014304698,1052,990
48,b_C_vs_M,-0.037283707933416205,True,107,0.00041269665308485415,1065,990
48,b_S_vs_M,-0.03497667468561643,True,107,0.00041269665308485415,1065,990
49,b_C_vs_M,-0.016578614249043232,True,89,0.0005700185889241927,1050,990
49,b_S_vs_M,-0.02187296863558167,True,89,0.0005700185889241927,1050,990
50,b_C_vs_M,-0.02693677198069607,True,110,0.0010733355746364026,1056,990
50,b_S_vs_M,-0.02737652608187053,True,110,0.0010733355746364026,1056,990
51,b_C_vs_M,-0.03920966104854412,True,99,0.0016096776897719378,1061,990
51,b_S_vs_M,-0.017230534914689115,True,99,0.0016096776897719378,1061,990
52,b_C_vs_M,-0.020855290339913797,True,116,0.0016681839491206052,1063,990
52,b_S_vs_M,-0.01933373961730246,True,116,0.0016681839491206052,1063,990
53,b_C_vs_M,-0.034751712351934916,True,102,0.0012316699547860743,1059,990
53,b_S_vs_M,-0.03412653944732375,True,102,0.0012316699547860743,1059,990
54,b_C_vs_M,-0.03488738956261511,True,101,0.0019911808456882785,1056,990
54,b_S_vs_M,-0.020269593598108294,True,101,0.0019911808456882785,1056,990
55,b_C_vs_M,-0.03292175561206002,True,109,0.0014942981029819613,1050,990
