subject_id,treatment_cell,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
market_control::kw::5b7af69d2f3fc30001374190,kw_market,-0.4178158982046769,-0.31898142671134205,1,0.5750410511935073,0.2907712343322917,0.13418771447420091
market_control::kw::5b905d5d2f789f00011c4cc2,kw_market,-1.1852415740571156,0.15910548132209507,4,0.6217354182173863,0.1481556820870576,0.2301088996955561
market_control::kw::5baca9c4bf876e000149b586,kw_market,-1.0567811251449928,-0.6654953703716517,3,0.6976857144305539,0.1874910611637122,0.1148232244057339
market_control::kw::5bb627b7f047e200014ee3bd,kw_market,-1.2755361907618286,-0.8263823412190779,4,0.7372595162722781,0.1594433700422292,0.1032971136854927
market_control::kw::5bdad3fa0bde32000170745b,kw_market,-0.3039108704975144,1.1237345202669324,1,0.39456914367566154,0.22744480621626878,0.3779860501080696
market_control::kw::5be92cf1ba2782000117743e,kw_market,-0.4442862128923083,1.1527295511527758,1,0.4024307371082821,0.2021756861558619,0.39539357673585596
market_control::kw::5c0595bb1a20110001e9f1e1,kw_market,-0.9658776963730237,-0.43560286725327807,2,0.6661632234871446,0.19613146081627375,0.13770531569658162
market_control::kw::5c06c226c1a4b2000135f395,kw_market,0.5742991243383134,0.8167578153638778,2,0.3248073706343514,0.43992347344366084,0.23526915592198783
market_control::kw::5c0c90e7632102000147c3cc,kw_market,-0.2949951866932477,0.2932161762430428,4,0.49977497964807566,0.28687535347996085,0.21334966687196355
market_control::kw::5c0cb29e1b80df00017843d2,kw_market,0.9785446713276007,-0.21431840347950118,1,0.3075388735325705,0.6113055894527064,0.08115553701472313
market_control::kw::5c1a1c6b0bdf8b0001c5928e,kw_market,0.45989753638001807,0.47754277378184184,4,0.3671778601802319,0.44251233000443835,0.19030980981532963
market_control::kw::5c2df24a2c45d400014a87f5,kw_market,1.2022912859674815,0.7192297118507233,4,0.24019528965730164,0.5997078888899551,0.16009682145274334
market_control::kw::5c38f43bb594c40001212d39,kw_market,0.09761039138040997,-0.330612001942881,2,0.48291992406152123,0.4049007977763166,0.11217927816216215
market_control::kw::5c477c3b302d8a0001c52ee2,kw_market,0.9909272381431924,-0.49705025404166203,4,0.31173264721138616,0.6261357443861264,0.062131608402487486
market_control::kw::5c509487172b6c0001779b34,kw_market,0.7680560391688322,-0.18368019534120023,1,0.3461139343447936,0.5600017925974536,0.09388427305775271
market_control::kw::5c578b57e66e510001eec4c6,kw_market,0.27875768824383884,-0.4319917306103894,2,0.45225674636594093,0.4524798017976383,0.09526345183642074
market_control::kw::5c608e91001e34000145185a,kw_market,-1.1516879379888414,-0.6661516537129824,3,0.7097195890040701,0.17364584373225572,0.11663456726367419
market_control::kw::5c6df5298c5fd30001b83926,kw_market,-0.3039108704975144,1.1237345202669324,1,0.39456914367566154,0.22744480621626878,0.3779860501080696
market_control::kw::5c7075f618126000010d4c97,kw_market,-0.5231067994537322,1.4281733135443822,1,0.3640808381633569,0.1701590997179791,0.46576006211866405
market_control::kw::5c753cfc25c76b00017068ab,kw_market,1.2022912859674815,0.7192297118507233,4,0.24019528965730164,0.5997078888899551,0.16009682145274334
market_control::kw::5c8c22bafeeaeb0016207a00,kw_market,-0.29499518669324754,0.2932161762430431,4,0.49977497964807555,0.28687535347996085,0.21334966687196358
market_control::kw::5c8d4db8c6eef00001bd2510,kw_market,-0.736956226666309,0.6207879044234483,2,0.5109623582043259,0.19070173080415412,0.29833591099152
market_control::kw::5c90bb590d21a20017ec455d,kw_market,0.9909272381431924,-0.49705025404166203,4,0.31173264721138616,0.6261357443861264,0.062131608402487486
market_control::kw::5c93fa19104ec70017bfa894,kw_market,-0.17909143414961723,-0.5522229036773982,3,0.5482281492503002,0.34988096947154096,0.10189088127815893
market_control::kw::5c9d137bc00f5a0001f981ef,kw_market,1.2595033824286033,-0.28793316908988925,2,0.25888395597924246,0.6773974719005966,0.06371857212016088
market_control::kw::5cab3a6f797d90001402fd4d,kw_market,-0.10666945812341293,1.1183201022643972,4,0.3764504111613921,0.26333887891965513,0.3602107099189529
market_control::kw::5cbe1e098f939c0015c0b9d8,kw_market,0.25299555234396065,-0.3493743213950902,2,0.45358499011593933,0.4427618924834531,0.1036531174006075
market_control::kw::5ccb343fcdcf0f0001ba779e,kw_market,-1.2755361907618286,-0.8263823412190779,4,0.7372595162722781,0.1594433700422292,0.1032971136854927
market_control::kw::5cd9712d725bb3000128f2bd,kw_market,-0.8282133944450134,-0.548107949827886,2,0.6569314535174614,0.2213876619423268,0.1216808845402118
market_control::kw::5ce031fc7f65ee001a985a6b,kw_market,-1.043722508072386,-0.7498131096581379,3,0.7024873897499742,0.19114082377167665,0.1063717864783492
market_control::kw::5ceafa32a20e6000160c5e74,kw_market,-0.4236297631347847,-0.7421646600853435,4,0.6042751173004051,0.30295375690012255,0.09277112579947239
market_control::kw::5cf510ccb0bafb00161ffd56,kw_market,0.749364798463913,-0.5076642495405136,3,0.3594673449360979,0.5698486685271612,0.07068398653674092
market_control::kw::5d04134bbdeaa5001865e8a3,kw_market,-0.8282133944450134,-0.548107949827886,2,0.6569314535174614,0.2213876619423268,0.1216808845402118
market_control::kw::5d0b7d3a1c9a4e001a11dd19,kw_market,1.407696333728675,-0.3049628785587404,2,0.23428421648079784,0.7089278853157123,0.056787898203489916
market_control::kw::5d13d6a2d4888600182efdd6,kw_market,0.7232529740272283,-0.0881228841443154,1,0.3511572520887027,0.5442014433946121,0.10464130451668531
market_control::kw::5d16d17119d2ed0015e21360,kw_market,0.25299555234396065,-0.3493743213950902,2,0.45358499011593933,0.4427618924834531,0.1036531174006075
market_control::kw::5d332ea34007ad00199c3713,kw_market,0.9909272381431924,-0.49705025404166203,4,0.31173264721138616,0.6261357443861264,0.062131608402487486
