comparison,origin_cell,destination_cell,PROLIFIC_PID,origin_trial_order,destination_trial_order,origin_weight_M,origin_weight_S,origin_weight_C,destination_weight_M,destination_weight_S,destination_weight_C,delta_weight_M,delta_weight_S,delta_weight_C,origin_share_sent,destination_share_sent,delta_share_sent
KW Control to LT Control,kw_control,lt_control,5841a2d39d65770001cebfa1,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.0984409604762112,0.09932996619917997,-0.0008890057229687803,0.3333333333333333,0.5,0.16666666666666669
KW Control to LT Control,kw_control,lt_control,589fc07f1521230001ebf494,2,1,0.747285608713868,0.22682194287474444,0.02589244841138765,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.11090253058626753,0.11363400390282097,-0.002731473316553431,0.0,0.0,0.0
KW Control to LT Control,kw_control,lt_control,58e4193733ae3700012735e5,1,2,0.7944639375342607,0.17694258445463806,0.02859347801110124,0.6592451239606861,0.31650686138476325,0.02424801465455068,-0.13521881357357457,0.1395642769301252,-0.004345463356550561,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,590a361371adfd000150e4c2,1,2,0.708407241482039,0.2360778812497956,0.05551487726816534,0.6592451239606861,0.31650686138476325,0.02424801465455068,-0.04916211752135291,0.08042898013496766,-0.031266862613614665,0.5,0.3333333333333333,-0.16666666666666669
KW Control to LT Control,kw_control,lt_control,5937fa89d3501e0001bc077b,2,1,0.747285608713868,0.22682194287474444,0.02589244841138765,0.6882857048777671,0.28573775013476477,0.025976544987468205,-0.058999903836100875,0.058915807260020325,8.409657608055357e-05,0.5,0.7916666666666666,0.29166666666666663
KW Control to LT Control,kw_control,lt_control,5944e8d4d8d2690001d0a6fa,2,1,0.7406286617817986,0.23320402791426587,0.026167310303935487,0.6859207616156298,0.28826327161138676,0.025815966772983624,-0.05470790016616889,0.055059243697120896,-0.0003513435309518628,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5953acc10dd7710001aec19e,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6484058389618463,0.32702533097915953,0.02456883005899412,-0.08641819964196529,0.0858993504007741,0.0005188492411911175,0.4583333333333333,0.5,0.041666666666666685
KW Control to LT Control,kw_control,lt_control,596ba5ec6956b40001c59bf4,2,1,0.7567179274067074,0.21755424288361602,0.02572782970967654,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.06291197534105153,0.06330161238504584,-0.00038963704399429255,0.25,0.5,0.25
KW Control to LT Control,kw_control,lt_control,5978828cae36d500016ca8b9,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.04101808653815575,0.03972987469027642,0.0012882118478792469,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5979d62b1fc28a000191759a,1,2,0.7174442778377254,0.25816406726181873,0.024391654900455986,0.6249817557512729,0.35159751489062746,0.023420729358099586,-0.09246252208645245,0.09343344762880873,-0.0009709255423564003,0.25,0.3333333333333333,0.08333333333333331
