subject_id,treatment_cell,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
control_kwlt::675116b37af67e7d9958a583,kw_control,-0.06807469201004503,-0.026179810674385202,1,0.7436141316380389,0.23004848384176463,0.02633738452019649
control_kwlt::6752cf8ec289846cfdcd04b0,kw_control,0.7746281755934803,-0.047808285338742186,2,0.6534230279312444,0.325363439101631,0.021213532967124585
control_kwlt::675c5393b9b2d381baa880c2,kw_control,-0.19474250282503003,-0.07816156922751266,3,0.7567179274067074,0.21755424288361602,0.02572782970967654
control_kwlt::675c64b95d8683943d557b71,kw_control,0.13166528889254647,-0.06926366648785251,3,0.7247105410046906,0.25111932744758747,0.0241701315477219
control_kwlt::675c79491bbd4e232d192d78,kw_control,0.12411443573360709,-0.04833630771454098,2,0.7250881937087699,0.2502017861723643,0.024710020118865812
control_kwlt::675eccd5616a615b90c53f5d,kw_control,0.035492096109786465,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::67605337c41b9ba5ae52a0c8,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::6760674a9c67827bc76493f4,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::67606b4f53533eb280754db1,kw_control,0.7234804667959527,-0.08303830320225501,4,0.6601106837385211,0.31913021086148324,0.02075910539999561
control_kwlt::6760b44aeaf09fa9989fbea9,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::67612db5f1caee703cf4d8b8,kw_control,-0.6553061082647963,-0.08672159303610953,3,0.7983568938432501,0.17360022704942335,0.02804287910732649
control_kwlt::6761adf900e5cf16c621131b,kw_control,0.09150295042799497,-0.07250595039042276,3,0.7288123664630296,0.24687778125082477,0.024309852286145676
control_kwlt::6762a6c453dc00bbd597daad,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::6765faff976fdcf31c7dbd98,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::676c8e8df63cc50e555f5b02,kw_control,0.09150295042799497,-0.07250595039042276,3,0.7288123664630296,0.24687778125082477,0.024309852286145676
control_kwlt::676ddb7025de5f8b463d008e,kw_control,0.6581918780946039,-0.04940484976636676,2,0.6672948484737621,0.3109039478562445,0.021801203669993465
control_kwlt::6772fd60f775cd72008c803f,kw_control,0.1316652888925463,-0.06926366648785251,3,0.7247105410046907,0.25111932744758747,0.024170131547721904
