replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
89,weight_S,-0.31593323832292924,True,104,0.0005168629719786155,1055,990
90,weight_C,-0.255495623373514,True,113,0.0013337648854826467,1066,990
90,weight_S,-0.1894885416436351,True,113,0.0013337648854826467,1066,990
91,weight_C,-0.24500493463710193,True,108,0.0011284230790090666,1064,990
91,weight_S,-0.18581383182512484,True,108,0.0011284230790090666,1064,990
92,weight_C,-0.17552855469226175,True,108,0.00019649819195433071,1053,990
92,weight_S,-0.08209058643406345,True,108,0.00019649819195433071,1053,990
93,weight_C,-0.2087720426744668,True,124,0.0007341283097398454,1052,990
93,weight_S,-0.20407250117842213,True,124,0.0007341283097398454,1052,990
94,weight_C,-0.30923589029115484,True,96,0.0046274908984154095,1060,990
94,weight_S,-0.2373379254347547,True,96,0.0046274908984154095,1060,990
95,weight_C,-0.2200474432118022,True,109,0.0034275831571357607,1065,990
95,weight_S,-0.15940123472446874,True,109,0.0034275831571357607,1065,990
96,weight_C,-0.29746382588584025,True,106,0.0010278656551234722,1063,990
96,weight_S,-0.19973287494701306,True,106,0.0010278656551234722,1063,990
97,weight_C,-0.21567125789573668,True,98,0.0007684687786121414,1041,990
97,weight_S,-0.2291786779845559,True,98,0.0007684687786121414,1041,990
98,weight_C,-0.2193203690177554,True,102,0.0006640247269728006,1055,990
98,weight_S,-0.19778025418414716,True,102,0.0006640247269728006,1055,990
99,weight_C,-0.14972524694234746,True,109,0.0003582024949880802,1053,990
99,weight_S,-0.026049404981841825,True,109,0.0003582024949880802,1053,990
100,weight_C,-0.2323749091493327,True,112,0.009119327570344726,1046,990
100,weight_S,-0.18939378772405346,True,112,0.009119327570344726,1046,990
101,weight_C,-0.3040950210601441,True,117,0.0017559627527776733,1064,990
101,weight_S,-0.15928046588785014,True,117,0.0017559627527776733,1064,990
102,weight_C,-0.30488821768057833,True,101,0.001813947612099076,1055,990
