task,context_id,rater_a,rater_b,pearson,spearman,mean_absolute_point_difference,total_variation_distance
within_game,T03,relative-agent-2,relative-agent-3,0.5955510434737983,0.4278081662941242,25.0,0.15
within_game,T04,relative-agent-1,relative-agent-2,0.6257718346298581,0.6617647058823529,6.666666666666667,0.04
within_game,T04,relative-agent-1,relative-agent-3,0.8366949950778255,0.868886203880645,5.5,0.033
within_game,T04,relative-agent-2,relative-agent-3,0.6578870094849698,0.657535505639407,7.166666666666667,0.043
within_game,T05,relative-agent-1,relative-agent-2,0.268349975809035,0.14494275891311212,26.666666666666668,0.08
within_game,T05,relative-agent-1,relative-agent-3,0.15602997645697836,0.09107651110783746,33.333333333333336,0.1
within_game,T05,relative-agent-2,relative-agent-3,0.683323246013157,0.6468431588153822,13.333333333333334,0.04
within_game,T06,relative-agent-1,relative-agent-2,0.8388397784517873,0.8285714285714285,15.0,0.09
within_game,T06,relative-agent-1,relative-agent-3,0.8538424607899117,0.8857142857142857,20.0,0.12
within_game,T06,relative-agent-2,relative-agent-3,0.9158482706555946,0.8857142857142857,13.333333333333334,0.08
within_game,T07,relative-agent-1,relative-agent-2,0.91577426801315,0.9856107606091623,50.0,0.15
within_game,T07,relative-agent-1,relative-agent-3,0.9306829147548493,0.8116794499134279,20.0,0.06
within_game,T07,relative-agent-2,relative-agent-3,0.8996266609202392,0.8285714285714287,53.333333333333336,0.16
within_game,T08,relative-agent-1,relative-agent-2,0.9625232536281695,0.8986451052612952,18.333333333333332,0.11
within_game,T08,relative-agent-1,relative-agent-3,-0.09630570274474803,0.11741705457846553,12.166666666666666,0.073
within_game,T08,relative-agent-2,relative-agent-3,0.07081862565537857,0.41661904489764817,27.666666666666668,0.166
within_game,T09,relative-agent-1,relative-agent-2,0.8647990375142232,0.7714285714285715,20.0,0.12
within_game,T09,relative-agent-1,relative-agent-3,0.9006565536414352,0.6179143806533248,15.0,0.09
within_game,T09,relative-agent-2,relative-agent-3,0.8967712165819848,0.7944613465542747,11.666666666666666,0.07
within_game,T10,relative-agent-1,relative-agent-2,0.8912078483770663,0.9558823529411764,11.666666666666666,0.07
within_game,T10,relative-agent-1,relative-agent-3,0.9723116543581626,0.9856107606091623,20.0,0.12
within_game,T10,relative-agent-2,relative-agent-3,0.8308987765694171,0.9856107606091623,21.666666666666668,0.13
within_game,T11,relative-agent-1,relative-agent-2,0.9964684991750242,0.9856107606091623,6.666666666666667,0.02
within_game,T11,relative-agent-1,relative-agent-3,0.9788713700877524,0.9558823529411764,21.666666666666668,0.065
within_game,T11,relative-agent-2,relative-agent-3,0.9746853156036484,0.9856107606091624,28.333333333333332,0.085
within_game,T12,relative-agent-1,relative-agent-2,0.9853592486608743,0.942857142857143,16.666666666666668,0.05
within_game,T12,relative-agent-1,relative-agent-3,0.9810773267993291,0.942857142857143,18.333333333333332,0.055
within_game,T12,relative-agent-2,relative-agent-3,0.9658270580034294,0.8285714285714287,33.333333333333336,0.1
