subject_id,subject_effect_S,subject_effect_C,subject_weight_M,subject_weight_S,subject_weight_C
control_kwlt::5d648fb785633f0019b04570,0.2934357239989488,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5d67a2bf6cd320001a36cb6b,-0.0072372538513053985,-0.09688516547417063,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5d6c10948cb0f70017b1f7a4,0.02690464766833014,-0.08378414722269055,0.6969230858422443,0.27930651094473447,0.02377040321302132
control_kwlt::5d6d4596d01d750001a7c464,0.025930594028695395,1.1768646111700343,0.6560668900107827,0.2649412183236716,0.07899189166554567
control_kwlt::5d734121d169f0001706ef8f,-0.23435412452158513,-0.057025975585230086,0.7368063216727303,0.23726406474728984,0.025929613579979825
control_kwlt::5d8154a847a45600189e8f35,-0.0072372538513054046,-0.09688516547417073,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5d959376884ef500196d458e,0.026904647668330103,-0.08378414722269055,0.6969230858422443,0.27930651094473447,0.02377040321302132
control_kwlt::5da9fec949bab300155afb7f,0.037046408975760524,-0.03741105657758203,0.6944691838211241,0.2807240633322753,0.02480675284660055
control_kwlt::5db1b2202b45640009cfcb36,0.3364728568204328,-0.07748427546770444,0.6446099599194545,0.3333940975795129,0.021995942501032643
control_kwlt::5db8a680ba06ed000f3874f3,-0.04812953369427835,-0.06415409771097012,0.708539631490391,0.2667814129518468,0.024678955557762262
control_kwlt::5dbf2635e2fafc3c507f5e06,-0.5830219661092217,-0.09385592295140054,0.785549496746285,0.18766249818027936,0.026788005073435546
control_kwlt::5dc474fd45b8f933f16d6241,0.47076366916384305,-0.05140421068018297,0.6203209243115333,0.35801032416062056,0.02166875152784614
control_kwlt::5dceca2541afe801a32e27ac,0.29343572399894874,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5dcfa99efd5b280bce1b835d,0.29343572399894874,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5dd3e852b988873c617cd21a,0.17531712663406748,-0.0861045184125515,0.6724717973678082,0.3047077725600373,0.02282043007215458
control_kwlt::5dd5e27fe25acf59990e1adf,-0.23799628900253617,-0.08884379681815424,0.7379589815877461,0.23688279144015742,0.025158226972096513
control_kwlt::5dd7f591ad0a617838322129,-0.6435962079514979,0.3341661098811457,0.7817276788725425,0.1773376880198863,0.040934633107571144
control_kwlt::5ddae6c686c886a56450ffd9,-0.06521631486218463,-0.01445350768727223,0.7102934142811773,0.26369771798616165,0.026008867732661114
control_kwlt::5ddc4bd4238a91ba3d9af93c,-0.32061008980202593,-0.1028375011379067,0.7502246912669788,0.2245205683694907,0.02525474036353043
control_kwlt::5dded0203c4937e47e77220e,-0.5678432444288156,-0.08009920776496136,0.7833122730206381,0.18961179813501405,0.027075928844347823
control_kwlt::5de2b0cc725abb2d8930c683,-0.007237253851305399,-0.09688516547417071,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5de8734b44b3127e513ae247,-0.4254843016343335,-0.06825663132393173,0.7641933121018976,0.20913286231301514,0.02667382558508726
control_kwlt::5e09461913064422d0004ecf,0.29343572399894874,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5e0a095a54ff2329aa070d54,-0.1353556177626693,-0.04185676796368344,0.7216527011430937,0.25260563614076825,0.02574166271613807
control_kwlt::5e0a8de6b6385332d7cae588,-0.23799628900253617,-0.08884379681815424,0.7379589815877461,0.23688279144015742,0.025158226972096513
control_kwlt::5e13189b1d6b469661725154,0.2934357239989488,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5e16e7b7c76aa6c8613f2477,0.5843045484947537,-0.08382297674210826,0.60003986966893,0.3797153219588151,0.020244808372254952
